,accuracy,precision,recall,f1-score,roc_auc
random_forest.pkl,1.0,1.0,1.0,1.0,1.0
logistic_regression.pkl,0.9990384615384615,0.9990426788124156,0.9990384615384615,0.9990392223161455,0.9999187216541768
ada_boost.pkl,1.0,1.0,1.0,1.0,1.0
knn.pkl,0.9990384615384615,0.9990426788124156,0.9990384615384615,0.9990392223161455,0.9999810350526412
decision_tree.pkl,1.0,1.0,1.0,1.0,1.0
extra_tree.pkl,0.9990384615384615,0.9990396427896429,0.9990384615384615,0.9990376957320343,0.9977973568281938
mlp.pkl,0.9990384615384615,0.9990426788124156,0.9990384615384615,0.9990392223161455,0.9998591175339067
